Country,Total_Cases,ISO,Population,Percent_Infected
Afghanistan,46498.0,AFG,38742911.0,0.12002
Albania,38182.0,ALB,2878420.0,1.32649
Algeria,83199.0,DZA,43685618.0,0.19045
Andorra,6745.0,AND,77240.0,8.73252
Angola,15139.0,AGO,32644783.0,0.04637
Antigua and Barbuda,141.0,ATG,97764.0,0.14422
Argentina,1424533.0,ARG,45111229.0,3.15782
Armenia,135124.0,ARM,2962137.0,4.56171
Australia,27912.0,AUS,25439164.0,0.10972
Austria,282456.0,AUT,8996022.0,3.13979
Azerbaijan,121176.0,AZE,10120555.0,1.19733
Bahamas,7541.0,BHS,392477.0,1.92139
Bahrain,86956.0,BHR,1688629.0,5.1495
Bangladesh,464932.0,BGD,164354176.0,0.28288
Barbados,276.0,BRB,287305.0,0.09607
Belarus,136647.0,BLR,9449940.0,1.44601
Belgium,577345.0,BEL,11579477.0,4.98593
Belize,5854.0,BLZ,396120.0,1.47783
Benin,3015.0,BEN,12055347.0,0.02501
Bhutan,410.0,BTN,769867.0,0.05326
Bolivia,144708.0,BOL,11640159.0,1.24318
Bosnia and Herzegovina,87901.0,BIH,3284806.0,2.67599
Botswana,10742.0,BWA,2341649.0,0.45874
Brazil,6335878.0,BRA,212253150.0,2.98506
Bulgaria,145300.0,BGR,6958627.0,2.08806
Burkina Faso,2886.0,BFA,20780371.0,0.01389
Burundi,688.0,BDI,11814346.0,0.00582
Cabo Verde,10761.0,CPV,554750.0,1.93979
Cambodia,326.0,KHM,16671185.0,0.00196
Cameroon,24445.0,CMR,26405174.0,0.09258
Canada,381557.0,CAN,37674770.0,1.01277
Central African Republic,4913.0,CAF,4812256.0,0.10209
Chad,1688.0,TCD,16324440.0,0.01034
Chile,551743.0,CHL,19082804.0,2.89131
China,92902.0,CHN,1438207241.0,0.00646
Colombia,1316806.0,COL,50771878.0,2.59357
Comoros,611.0,COM,865696.0,0.07058
Congo,5774.0,COG,5489191.0,0.10519
Costa Rica,139638.0,CRI,5084636.0,2.74627
Croatia,128442.0,HRV,4110214.0,3.12495
Cuba,8284.0,CUB,11327988.0,0.07313
Cyprus,10565.0,CYP,1205577.0,0.87634
DR Congo,12772.0,COD,88972681.0,0.01435
Denmark,80984.0,DNK,5788108.0,1.39914
Djibouti,5679.0,DJI,985027.0,0.57653
Dominica,85.0,DMA,71950.0,0.11814
Dominican Republic,143988.0,DOM,10825682.0,1.33006
Ecuador,192685.0,ECU,17587526.0,1.09558
Egypt,115911.0,EGY,101930276.0,0.11372
El Salvador,38405.0,SLV,6479609.0,0.59271
Equatorial Guinea,5153.0,GNQ,1392950.0,0.36993
Eritrea,577.0,ERI,3536285.0,0.01632
Estonia,12308.0,EST,1326357.0,0.92796
Eswatini,6419.0,SWZ,1157707.0,0.55446
Ethiopia,110074.0,ETH,114357494.0,0.09625
Fiji,42.0,FJI,895128.0,0.00469
Finland,24912.0,FIN,5539002.0,0.44976
France,2275016.0,FRA,65244628.0,3.4869
Gabon,9214.0,GAB,2214593.0,0.41606
Gambia,3742.0,GMB,2402083.0,0.15578
Georgia,135584.0,GEO,3990681.0,3.39752
Germany,1069912.0,DEU,83730223.0,1.27781
Ghana,51667.0,GHA,30936375.0,0.16701
Greece,105271.0,GRC,10433037.0,1.00902
Grenada,41.0,GRD,112418.0,0.03647
Guatemala,122062.0,GTM,17846248.0,0.68396
Guinea,13119.0,GIN,13056478.0,0.10048
Guinea-Bissau,2441.0,GNB,1958132.0,0.12466
Guyana,5406.0,GUY,785788.0,0.68797
Haiti,9294.0,HTI,11373955.0,0.08171
Holy See,27.0,VAT,801.0,3.37079
Honduras,108253.0,HND,9871892.0,1.09658
Hungary,217122.0,HUN,9665192.0,2.24643
Iceland,5392.0,ISL,340795.0,1.58218
India,9462809.0,IND,1377233523.0,0.68709
Indonesia,538883.0,IDN,272931713.0,0.19744
Iran,962070.0,IRN,83771587.0,1.14844
Iraq,552549.0,IRQ,40031626.0,1.38028
Ireland,72544.0,IRL,4926480.0,1.47253
Israel,336846.0,ISR,8627444.0,3.90435
Italy,1601554.0,ITA,60479424.0,2.6481
Jamaica,10763.0,JAM,2958567.0,0.36379
Japan,148962.0,JPN,126552765.0,0.11771
Jordan,219430.0,JOR,10182442.0,2.15498
Kazakhstan,132348.0,KAZ,18730568.0,0.70659
Kenya,83618.0,KEN,53521116.0,0.15623
Kuwait,142635.0,KWT,4257495.0,3.35021
Kyrgyzstan,73178.0,KGZ,6501804.0,1.1255
Latvia,17075.0,LVA,1890218.0,0.90333
Lebanon,127944.0,LBN,6831445.0,1.87287
Lesotho,2109.0,LSO,2138799.0,0.09861
Liberia,1595.0,LBR,5032469.0,0.03169
Libya,82809.0,LBY,6852010.0,1.20854
Liechtenstein,1270.0,LIE,38106.0,3.33281
Lithuania,61325.0,LTU,2729553.0,2.2467
Luxembourg,34678.0,LUX,623861.0,5.55861
Madagascar,17341.0,MDG,27539106.0,0.06297
Malawi,6028.0,MWI,19024426.0,0.03169
Malaysia,65697.0,MYS,32280610.0,0.20352
Maldives,13011.0,MDV,538558.0,2.4159
Mali,4710.0,MLI,20125282.0,0.0234
Malta,9873.0,MLT,441308.0,2.23721
Marshall Islands,4.0,MHL,59109.0,0.00677
Mauritania,8601.0,MRT,4623535.0,0.18603
Mauritius,504.0,MUS,1271347.0,0.03964
Mexico,1113543.0,MEX,128655589.0,0.86552
Monaco,609.0,MCO,39186.0,1.55413
Mongolia,801.0,MNG,3267320.0,0.02452
Montenegro,35265.0,MNE,628050.0,5.615
Morocco,356336.0,MAR,36820713.0,0.96776
Mozambique,15701.0,MOZ,31067362.0,0.05054
Namibia,14380.0,NAM,2531290.0,0.56809
Nepal,233452.0,NPL,29027347.0,0.80425
Netherlands,531930.0,NLD,17127290.0,3.10575
New Zealand,2059.0,NZL,4814272.0,0.04277
Nicaragua,5784.0,NIC,6608366.0,0.08753
Niger,1548.0,NER,24014064.0,0.00645
Nigeria,67557.0,NGA,205052107.0,0.03295
Norway,36150.0,NOR,5412632.0,0.66788
Oman,123699.0,OMN,5078933.0,2.43553
Pakistan,400482.0,PAK,219992900.0,0.18204
Panama,165806.0,PAN,4300667.0,3.85536
Papua New Guinea,656.0,PNG,8911530.0,0.00736
Paraguay,82424.0,PRY,7114524.0,1.15853
Peru,962530.0,PER,32876986.0,2.92767
Philippines,431630.0,PHL,109280343.0,0.39497
Poland,990811.0,POL,37854825.0,2.6174
Portugal,298061.0,PRT,10202571.0,2.92143
Qatar,138833.0,QAT,2870922.0,4.83583
Romania,475362.0,ROU,19262731.0,2.46778
Russia,2275936.0,RUS,145922010.0,1.55969
Rwanda,5934.0,RWA,12883878.0,0.04606
Saint Lucia,259.0,LCA,183458.0,0.14118
San Marino,1612.0,SMR,33917.0,4.75278
Saudi Arabia,357360.0,SAU,34701377.0,1.02982
Senegal,16089.0,SEN,16649599.0,0.09663
Serbia,175438.0,SRB,8744288.0,2.00632
Seychelles,183.0,SYC,98224.0,0.18631
Sierra Leone,2412.0,SLE,7942879.0,0.03037
Singapore,58218.0,SGP,5840996.0,0.99671
Slovakia,105929.0,SVK,5459116.0,1.94041
Slovenia,75814.0,SVN,2078881.0,3.64687
Solomon Islands,17.0,SLB,683301.0,0.00249
Somalia,4451.0,SOM,15798020.0,0.02817
South Africa,790004.0,ZAF,59154802.0,1.33549
South Korea,34652.0,KOR,51260395.0,0.0676
South Sudan,3109.0,SSD,11166783.0,0.02784
Spain,1648187.0,ESP,46751175.0,3.52545
Sri Lanka,23987.0,LKA,21395196.0,0.11211
Sudan,17810.0,SDN,43632213.0,0.04082
Suriname,5312.0,SUR,585561.0,0.90716
Sweden,243129.0,SWE,10086531.0,2.41043
Switzerland,327072.0,CHE,8641786.0,3.78477
Tajikistan,12194.0,TJK,9492342.0,0.12846
Tanzania,509.0,TZA,59368313.0,0.00086
Thailand,4008.0,THA,69764925.0,0.00575
Timor-Leste,30.0,TLS,1313184.0,0.00228
